"cz","Name","Fraction_College_Graduates_in_2012-16"
"cz4103","El Dorado, AR",0.1715
"cz36502","Burns, OR",0.1715
"cz30000","Russellville, AR",0.1709
"cz10102","Thomasville, GA",0.1706
"cz32201","Huntsville, TX",0.1705
"cz4302","Searcy, AR",0.1705
"cz27202","Worthington, IA & MN",0.1704
"cz36902","Roseburg, OR",0.1703
"cz12903","Danville, KY",0.1703
"cz39204","Condon, OR",0.1701
"cz31002","Ulysses, KS",0.1701
"cz31101","Victoria, TX",0.17
"cz33700","Ardmore, OK",0.1699
"cz6200","Florence, AL & TN",0.1698
"cz17501","Cumberland, MD & WV",0.1694
"cz32305","Del Rio, TX",0.1693
"cz38700","Longview, OR & WA",0.1686
"cz35702","Burley, ID",0.1684
"cz12001","Big Rapids, MI",0.1684
"cz10200","Albany, GA",0.1683
"cz1600","Wilson, NC",0.1671
"cz15500","Steubenville, OH & WV",0.1671
"cz37601","Elko, NV",0.1666
"cz24801","Jacksonville, IL",0.1665
"cz1002","Morganton, NC",0.1662
"cz18500","Amsterdam, NY",0.1662
"cz10400","Meridian, MS",0.1661
"cz16801","Beckley, WV",0.1659
"cz30904","Pampa, TX",0.1658
"cz26603","East Corson UT, ND & SD",0.1643
"cz32304","Uvalde, TX",0.164
"cz26106","Centerville, IA",0.1638
"cz33200","Paris, TX",0.1636
"cz34107","Dillingham, AK",0.1635
"cz3600","Alexandria, LA",0.1634
"cz21202","Redwood Falls, MN",0.1632
"cz25101","Mountain Home, AR & MO",0.1632
"cz28504","Burlington, CO",0.1631
"cz9002","Milledgeville, GA",0.163
"cz29506","Bethany, MO",0.1628
"cz32602","Graham, TX",0.1623
"cz29800","Aurora, MO",0.1622
"cz13900","Center, IN",0.1621
"cz32303","Junction, TX",0.1621
"cz8402","Washington, GA",0.1619
"cz16701","Elkins, WV",0.1618
"cz13200","Owensboro, KY",0.1617
"cz12401","Alpena, MI",0.1614
"cz30906","Memphis, TX",0.1614
"cz33500","Texarkana, AR & TX",0.1609
"cz2200","South Boston, VA",0.1605
"cz31600","Brownsville, TX",0.1604
"cz37200","Fresno, CA",0.1601
"cz8701","Hinesville, GA",0.1597
"cz26601","Milbank, MN & SD",0.1597
"cz6502","Cleveland, TN",0.1594
"cz26203","Linton, ND",0.1594
"cz34804","Clayton, NM",0.1592
"cz32100","Beaumont, TX",0.1589
"cz34803","Tucumcari, NM",0.1589
"cz33603","Frederick, OK",0.1588
"cz2800","Laurel, MS",0.1586
"cz32302","Brady, TX",0.1586
"cz13700","Concord, IN & MI",0.1585
"cz22602","Shawano, WI",0.1576
"cz5500","Columbia, TN",0.1576
"cz31503","Laredo, TX",0.1574
"cz11201","Bluefield, VA & WV",0.1572
"cz13103","Bardstown, KY",0.157
"cz10101","Bainbridge, GA",0.1569
"cz25103","Harrison, AR",0.1567
"cz34114","Unalaska, AK",0.1566
"cz37000","Modesto, CA",0.1562
"cz4102","Pine Bluff, AR",0.1562
"cz30100","Fort Smith, AR & OK",0.1556
"cz27704","Gordon, NE & SD",0.1553
"cz12600","Wayne, IN",0.1552
"cz29902","Center, MO",0.1549
"cz14801","Olney, IL",0.1546
"cz13102","Madison, IN & KY",0.1537
"cz32502","Childress, TX",0.1533
"cz30908","Plainview, TX",0.1524
"cz200","Morristown, TN",0.1522
"cz30905","Wellington, TX",0.1522
"cz26902","Little Falls, MN",0.1522
"cz601","North Wilkesboro, NC",0.1521
"cz3202","Natchez, LA & MS",0.152
"cz32503","Haskell, TX",0.152
"cz6600","Rome, AL & GA",0.1516
"cz27605","Mission, SD",0.1513
"cz26103","Brookfield, MO",0.1512
"cz16000","Mansfield, OH",0.1503
"cz32604","Vernon, TX",0.1503
"cz38501","Moses Lake, WA",0.1496
"cz25200","Henderson, KY",0.1492
"cz6402","Crossville, TN",0.1489
"cz29504","Sedalia, MO",0.1485
"cz25602","Harrisburg, IL",0.1484
"cz32802","Corsicana, TX",0.1482
"cz9702","Americus, GA",0.148
"cz30403","Okmulgee, OK",0.1479
"cz1800","Goldsboro, NC",0.1479
"cz12402","Grayling charter, MI",0.1478
"cz26402","Baker, MT",0.1476
"cz3102","Brookhaven, MS",0.1476
"cz37100","Bakersfield, CA",0.1475
"cz12902","Mount Sterling, KY",0.1467
"cz15700","Scioto, OH",0.1466
"cz26101","Moberly, MO",0.1466
"cz34306","Jordan, MT",0.1464
"cz13502","Defiance, OH",0.1459
"cz25104","Heber Springs, AR",0.1457
"cz27602","Eagle Butte, SD",0.1455
"cz36402","Vernal, UT",0.1455
"cz25105","Batesville, AR",0.1454
"cz6100","Gadsden, AL",0.1449
"cz35802","Ontario, ID & OR",0.1446
"cz31004","Liberal, KS & OK",0.1442
"cz4601","Campbellsville, KY",0.1441
"cz31007","Dumas, TX",0.144
"cz27604","Murdo, SD",0.1438
"cz9200","Griffin, GA",0.1436
"cz28402","Limon, CO",0.1434
"cz30902","Littlefield, TX",0.1434
"cz26105","Polk, MO",0.1434
"cz10802","Demopolis, AL",0.1427
"cz26406","Wolf Point, MT",0.1425
"cz32403","Snyder, TX",0.142
"cz12502","Washington Court House, OH",0.1418
"cz9302","Toccoa, GA",0.1407
"cz5201","New Albany, MS",0.1406
"cz38100","Yuma, AZ & CA",0.1403
"cz5402","Glasgow, KY & TN",0.1403
"cz5800","Dickson, TN",0.1403
"cz3400","Houma, LA",0.1392
"cz28602","Norton, KS",0.1379
"cz4004","Many, LA",0.1378
"cz31103","Gonzales, TX",0.1375
"cz16802","Summersville, WV",0.1375
"cz21502","Pine City, MN",0.1374
"cz25702","Poplar Bluff, MO",0.1369
"cz9500","Talladega, AL",0.1369
"cz12702","Maysville, KY",0.1367
"cz32402","Sweetwater, TX",0.1362
"cz4101","Crossett, AR",0.1362
"cz9003","Dublin, GA",0.1361
"cz25102","West Plains, AR & MO",0.1354
"cz5300","West Memphis, AR",0.135
"cz15400","Zanesville, OH",0.1343
"cz35002","Safford, AZ",0.1342
"cz8201","Barnwell, SC",0.1338
"cz14802","Vincennes, IL & IN",0.1337
"cz3101","McComb, MS",0.133
"cz7700","Lake City, FL",0.1327
