SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Students Without Disabilities","<3","*","53","12","N/A","N/A","N/A","15","65","80","<=5%","*","66.3","15.0","N/A","N/A","N/A","18.80","81.30","2084.6000000000000000","17.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Not Economically Disadvantaged","<3","*","12","5","N/A","N/A","N/A","7","17","24","<=20%","*","50.0","20.8","N/A","N/A","N/A","29.20","70.80","2083.6000000000000000","19.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Students With Disabilities","<3","<3","*","*","N/A","N/A","N/A","<3","*","12","<=50%","<=50%",">=50%","<=50%","N/A","N/A","N/A","<=50%",">=50%","2070.6000000000000000","20.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","English Learners","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Not English Learners","3","14","14","59","N/A","N/A","N/A","17","73","90","<=5%","*","15.6","65.6","N/A","N/A","N/A","18.90","81.10","2081.4000000000000000","22.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Students With Disabilities","<3","<3","<3","*","N/A","N/A","N/A","<3","*","12","<=50%","<=50%","<=50%",">=50%","N/A","N/A","N/A","<=50%",">=50%","2069.1000000000000000","18.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","American Indian or Alaska Native","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Black or African American","<3","<3","*","*","N/A","N/A","N/A","<3","*","30","<=20%","<=20%","*","*","N/A","N/A","N/A","<=20%",">=80%","2067.4000000000000000","12.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","White","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","All Students","<3","<3","<3","*","N/A","N/A","N/A","<3","*","32","<=10%","<=10%","<=10%",">=90%","N/A","N/A","N/A","<=10%",">=90%","2061.7000000000000000","13.9000000000000000","N/A","*","*","*","*","*"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Not English Learners","<3","<3","*","*","N/A","N/A","N/A","<3","*","31","<=10%","<=10%","*","*","N/A","N/A","N/A","<=10%",">=90%","2067.2000000000000000","12.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Students With Disabilities","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Economically Disadvantaged","<3","<3","<3","*","N/A","N/A","N/A","<3","*","31","<=10%","<=10%","<=10%",">=90%","N/A","N/A","N/A","<=10%",">=90%","2062.0000000000000000","14.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Not Economically Disadvantaged","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Not English Learners","<3","<3","<3","*","N/A","N/A","N/A","<3","*","31","<=10%","<=10%","<=10%",">=90%","N/A","N/A","N/A","<=10%",">=90%","2062.0000000000000000","14.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Students Without Disabilities","<3","<3","*","*","N/A","N/A","N/A","<3","*","25","<=20%","<=20%","*","*","N/A","N/A","N/A","<=20%",">=80%","2068.4000000000000000","12.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Male","<3","<3","*","*","N/A","N/A","N/A","<3","*","18","<=20%","<=20%","*","*","N/A","N/A","N/A","<=20%",">=80%","2065.7000000000000000","11.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Female","<3","<3","*","*","N/A","N/A","N/A","<3","*","14","<=50%","<=50%","<=50%",">=50%","N/A","N/A","N/A","<=50%",">=50%","2069.7000000000000000","13.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","American Indian or Alaska Native","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","English Learners","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Black or African American","<3","<3","<3","*","N/A","N/A","N/A","<3","*","30","<=20%","<=20%","<=20%",">=80%","N/A","N/A","N/A","<=20%",">=80%","2062.2000000000000000","14.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","White","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Students Without Disabilities","<3","<3","<3","*","N/A","N/A","N/A","<3","*","25","<=20%","<=20%","<=20%",">=80%","N/A","N/A","N/A","<=20%",">=80%","2063.4000000000000000","14.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Male","<3","<3","<3","*","N/A","N/A","N/A","<3","*","18","<=20%","<=20%","<=20%",">=80%","N/A","N/A","N/A","<=20%",">=80%","2058.8000000000000000","10.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Female","<3","<3","<3","*","N/A","N/A","N/A","<3","*","14","<=50%","<=50%","<=50%",">=50%","N/A","N/A","N/A","<=50%",">=50%","2065.3000000000000000","16.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","English Learners","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Economically Disadvantaged","<3","<3","*","*","N/A","N/A","N/A","<3","*","31","<=10%","<=10%","*","*","N/A","N/A","N/A","<=10%",">=90%","2067.2000000000000000","12.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Not Economically Disadvantaged","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","All Students","<3","<3","*","*","N/A","N/A","N/A","<3","*","32","<=10%","<=10%","*","*","N/A","N/A","N/A","<=10%",">=90%","2067.4000000000000000","12.6000000000000000","N/A","*","*","*","*","*"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Students With Disabilities","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","MI-Access","FI","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","ELA","All Students","N/A","N/A","N/A","N/A","11","11","20","22","20","42","N/A","N/A","N/A","N/A","26.20","26.20","47.60","52.40","47.60","3159.3000000000000000","33.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","MI-Access","FI","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Mathematics","All Students","N/A","N/A","N/A","N/A","4","15","34","19","34","53","N/A","N/A","N/A","N/A","<=10%","*","64.20","35.80","64.20","3151.3000000000000000","28.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","MI-Access","FI","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","All Students","N/A","N/A","N/A","N/A","3","7","49","10","49","59","N/A","N/A","N/A","N/A","<=10%","*","83.10","16.90","83.10","3131.4000000000000000","18.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
